Наименование;Артикул;Бренд;Модель;Наличие;Цена;Старая цена;Ссылка
Jet Kid Start blue Умные детские часы; 80235265; Jet; Excidium; 5;2310 руб;2310 руб;https://parsinger.ru/html/watch/1/1_1.html
Фитнес- браслет BAND 6 FOREST GREEN FARA-B19 HUAWEI; 80581842; Huawei; Band 6 FRA-B19; 15;5480 руб;5480 руб;https://parsinger.ru/html/watch/1/1_2.html
Умные часы GT 3 MIL-B19S BLACK HUAWEI; 8058184234; Huawei; Band 6 FRA-B19; 15;21810 руб;21810 руб;https://parsinger.ru/html/watch/1/1_3.html
Умные часы GT 3 MIL-B19V BROWN HUAWEI; 80615308; Huawei; GT 3 MIL-B19V; 22;21810 руб;21810 руб;https://parsinger.ru/html/watch/1/1_4.html
Умные часы GT RUNNER-B19S BLACK HUAWEI; 80616445; Huawei; GT RUNNER-B19S; 10;27770 руб;27770 руб;https://parsinger.ru/html/watch/1/1_5.html
Умные часы GT RUNNER-B19A GREY HUAWEI; 80616446; Huawei; GT RUNNER-B19A; 7;27770 руб;27770 руб;https://parsinger.ru/html/watch/1/1_6.html
Умные часы GT 3 MIL-B19 GOLD HUAWEI; 80616447; Huawei; GT 3 MIL-B19; 8;24230 руб;24230 руб;https://parsinger.ru/html/watch/1/1_7.html
Умные часы WATCH 3 GALILEO-L11 STEEL HUAWEI;  80590693; Huawei; Watch 3 Galileo-L21E; 18;32600 руб;32600 руб;https://parsinger.ru/html/watch/1/1_8.html
Умные часы GT 3 JPT-B19V BROWN HUAWEI; 80609751; Huawei; GT 3 JPT-B19V; 40;24230 руб;24230 руб;https://parsinger.ru/html/watch/1/1_9.html
Умные часы FIT ELEGANT TIA-B29 MIDNIGHT BLACK HUAWEI; 80578978; Huawei; Fit Elegant TIA-B29; 32;11460 руб;11460 руб;https://parsinger.ru/html/watch/1/1_10.html
Умные часы GT 2 MATTE BLACK LTN-B19 HUAWEI; 80578980; Huawei; Fit Elegant TIA-B29; 17;15850 руб;15850 руб;https://parsinger.ru/html/watch/1/1_11.html
Умные часы GT 2 PEBBLE BROWN LTN-B19 HUAWEI; 8105728981; Huawei; GT 2 LTN-B19V; 24;17070 руб;17070 руб;https://parsinger.ru/html/watch/1/1_12.html
Умные часы GT 2 PRO VID-B19 NEBULA GRAY HUAWEI; 80581843; Huawei; GT 2 Pro Vidar-B19V; 55;27770 руб;27770 руб;https://parsinger.ru/html/watch/1/1_13.html
Умные часы GT 2 PRO VID-B19 NIGHT BLACK HUAWEI; 80581844; Huawei; GT 2 Pro Vidar-B19S; 37;24230 руб;24230 руб;https://parsinger.ru/html/watch/1/1_14.html
Умные часы FIT ELEGANT TIA-B29 FROSTY WHITE HUAWEI; 80578979; Huawei; Fit Elegant TIA-B29; 7;11460 руб;11460 руб;https://parsinger.ru/html/watch/1/1_15.html
Умные часы FIT TIA-B09 GRAPHITE BLACK HUAWEI; 80598423; Huawei; Fit TIA-B09; 21;9040 руб;9040 руб;https://parsinger.ru/html/watch/1/1_16.html
Умные часы KIDS 4 PRO ASN-AL10 BLUE HUAWEI;  80605938; Huawei; KIDS 4 PRO; 57;15850 руб;15850 руб;https://parsinger.ru/html/watch/1/1_17.html
Умные часы KIDS 4 PRO ASN-AL10 PINK HUAWEI; 80605939; Huawei; KIDS 4 PRO; 58;15850 руб;15850 руб;https://parsinger.ru/html/watch/1/1_18.html
GT 2 NIGHT BLACK DIANA-B19S HUAWEI; 80605940; Huawei; Watch GT 2 Diana-B19S; 29;15850 руб;15850 руб;https://parsinger.ru/html/watch/1/1_19.html
Умные часы GT 3 JPT-B19S BLACK HUAWEI; 80609750; Huawei; GT 3 JPT-B19S; 42;24230 руб;24230 руб;https://parsinger.ru/html/watch/1/1_20.html
Умные часы FIT TIA-B09 DISTILLED BLUE HUAWEI; 80598422; Huawei; Fit TIA-B09; 21;9040 руб;9040 руб;https://parsinger.ru/html/watch/1/1_21.html
Умные часы FIT TIA-B09 SAKURA PINK HUAWEI; 80598424; Huawei; Fit TIA-B09; 20;9040 руб;9040 руб;https://parsinger.ru/html/watch/1/1_22.html
Часы Medisana Шагомер ViFit Connect; 8705336; Medisana; ViFit Connect; 55;4580 руб;4580 руб;https://parsinger.ru/html/watch/1/1_23.html
Canyon - CNS-SW82BB; 8025293634; Canyon; CNS-SW82BB; 20;4840 руб;4840 руб;https://parsinger.ru/html/watch/1/1_24.html
Умные часы FLY BLACK G-SM16BLK GEOZON; 80590694; Geozon; G-SM16BLK; 29;3880 руб;3880 руб;https://parsinger.ru/html/watch/1/1_25.html
Canyon - CNS-SW81BG;  80468640; Canyon; CNS-SW81BG; 60;4510 руб;4510 руб;https://parsinger.ru/html/watch/1/1_26.html
Умные часы MAGIC 2 BLACK 46MM MNS-B39 HONOR; 80612714; Honor; MNS-B39; 41;11480 руб;11480 руб;https://parsinger.ru/html/watch/1/1_27.html
Фитнес-браслет BAND FIT PLUS RED G-SM14RED GEOZON; 80578938; Geozon; G-SM14RED; 26;3790 руб;3790 руб;https://parsinger.ru/html/watch/1/1_28.html
Фитнес-браслет Mi Smart Band 6; 80574754; Xiaomi; G-SM14RED; 26;4700 руб;4700 руб;https://parsinger.ru/html/watch/1/1_29.html
"Смарт-часы Jet Kid Pinkie Pie 40мм 1.44"" TFT розовый"; 80350904; Jet; Kid Pinkie Pie 40мм; 7;5140 руб;5140 руб;https://parsinger.ru/html/watch/1/1_30.html
"Смарт-часы Jet Sport SW-4C 1.54"" IPS серебристый (SW-4C SILVER)"; 80397648; Jet; SW-4C; 17;4600 руб;4600 руб;https://parsinger.ru/html/watch/1/1_31.html
"Смарт-часы Jet Kid Optimus Prime 45мм 1.44"" TFT синий/красный"; 80350906; Jet; Kid Optimus Prime 45мм; 12;6050 руб;6050 руб;https://parsinger.ru/html/watch/1/1_32.html
teXet TM-519R черный-красный Мобильный телефон; 80397881; Texet; TM-519R; 31;2490 руб;2490 руб;https://parsinger.ru/html/mobile/2/2_1.html
Мобильный телефон Fly Ezzy 3 белый; 8579276; Fly; Ezzy 3; 20;1070 руб;1070 руб;https://parsinger.ru/html/mobile/2/2_2.html
Телефон Nokia 150 DS TA-1235 (2020) Cyan; 80548138; NOKIA; Ezzy 3; 17;3130 руб;3130 руб;https://parsinger.ru/html/mobile/2/2_3.html
Мобильный телефон BQ 2430 Tank Power серебристый камуфляж; 80350335; BQ; 2430 Tank Power; 7;1920 руб;1920 руб;https://parsinger.ru/html/mobile/2/2_4.html
Мобильный телефон NOKIA 130 Dual Sim 2017 черный (A00028615); 8694521; NOKIA; 130 Dual Sim 2017; 37;1550 руб;1550 руб;https://parsinger.ru/html/mobile/2/2_5.html
Мобильный телефон Texet TM-B217 черный красный; 80040225; Texet; TM-B217; 5;1830 руб;1830 руб;https://parsinger.ru/html/mobile/2/2_6.html
NOKIA TA-1253; 80548137; NOKIA; TA-1253; 15;2020 руб;2020 руб;https://parsinger.ru/html/mobile/2/2_7.html
Мобильный телефон Texet 130-TM черный красный; 80412207; Texet; 130-TM; 60;1160 руб;1160 руб;https://parsinger.ru/html/mobile/2/2_8.html
Мобильный телефон NOKIA 105 SS TA-1203 синий;  80365450; NOKIA; 105 SS TA-1203; 30;1550 руб;1550 руб;https://parsinger.ru/html/mobile/2/2_9.html
Мобильный телефон NOKIA 105 DS розовый;  80350339; NOKIA; 105 DS; 30;1460 руб;1460 руб;https://parsinger.ru/html/mobile/2/2_10.html
TEXET TM-408 мобильный телефон цвет синий;  80594622; Texet; TM-408; 13;2740 руб;2740 руб;https://parsinger.ru/html/mobile/2/2_11.html
Телефон NOKIA 105 Dual sim (2019) черный (16KIGB01A01);  8025946222; NOKIA; 105 Dual sim (2019); 3;1740 руб;1740 руб;https://parsinger.ru/html/mobile/2/2_12.html
Мобильный телефон Texet TM-204 красный;  80040222; Texet; TM-204; 7;1840 руб;1840 руб;https://parsinger.ru/html/mobile/2/2_13.html
Телефон NOKIA 3310 Dual темно-синий;  80035628; NOKIA; 3310 Dual; 77;3350 руб;3350 руб;https://parsinger.ru/html/mobile/2/2_14.html
Телефон NOKIA 3310 Dual жёлтый;  80035625; NOKIA; 3310 Dual; 55;4910 руб;4910 руб;https://parsinger.ru/html/mobile/2/2_15.html
Мобильный телефон Texet 130-TM черный;  80246442; Texet; 130-TM; 77;1130 руб;1130 руб;https://parsinger.ru/html/mobile/2/2_16.html
Мобильный телефон NOKIA 106 DS TA-1114 серый;  80246442; NOKIA; 106 DS TA-1114; 27;1720 руб;1720 руб;https://parsinger.ru/html/mobile/2/2_17.html
Мобильный телефон Texet TM-513R черный оранжевый;  8813339; Texet; TM-513R; 10;3630 руб;3630 руб;https://parsinger.ru/html/mobile/2/2_18.html
teXet TM-B226 черный-красный Мобильный телефон;  80140986; Texet; TM-B226; 11;2690 руб;2690 руб;https://parsinger.ru/html/mobile/2/2_19.html
Мобильный телефон NOKIA 105 DS Blue синий;   80350338; NOKIA; 105 DS Blue; 8;1460 руб;1460 руб;https://parsinger.ru/html/mobile/2/2_20.html
Мобильный телефон NOKIA 230 Dual Sim серый черный;    8843087; NOKIA; 230 Dual Sim; 38;4320 руб;4320 руб;https://parsinger.ru/html/mobile/2/2_21.html
Мобильный телефон Alcatel 1066D белый;   80185430; Alcatel; 1066D; 25;2620 руб;2620 руб;https://parsinger.ru/html/mobile/2/2_22.html
Мобильный телефон Philips Xenium E172 черный;   80587797; Philips; Xenium E172; 5;2700 руб;2700 руб;https://parsinger.ru/html/mobile/2/2_23.html
Мобильный телефон Alcatel 3025X серый;   8035877917; Alcatel; 3025X; 35;6600 руб;6600 руб;https://parsinger.ru/html/mobile/2/2_24.html
Мобильный телефон Philips Xenium E255 черный CTE255BK/00; 80310838; Philips; Xenium E255; 19;3480 руб;3480 руб;https://parsinger.ru/html/mobile/2/2_25.html
Мобильный телефон Texet TM-D429 антрацит; 80365448; Texet; Xenium E255; 12;1930 руб;1930 руб;https://parsinger.ru/html/mobile/2/2_26.html
Телефон Alcatel 2019G серый; 80328164; Alcatel; 2019G; 32;4660 руб;4660 руб;https://parsinger.ru/html/mobile/2/2_27.html
Мобильный телефон Alcatel OT-3025X серебристый; 80213684; Alcatel; OT-3025X; 32;6600 руб;6600 руб;https://parsinger.ru/html/mobile/2/2_28.html
Мобильный телефон Digma Linx A230WT 2G черный 2.31” Bluetooth; 80220467; Digma; Linx A230WT 2G; 42;4100 руб;4100 руб;https://parsinger.ru/html/mobile/2/2_29.html
Fly Ezzy Trendy 1; 80365445; Fly; Linx A230WT 2G; 14;2030 руб;2030 руб;https://parsinger.ru/html/mobile/2/2_30.html
Fly S240 Dark Grey; 80388618; Fly; S240; 24;1600 руб;1600 руб;https://parsinger.ru/html/mobile/2/2_31.html
Телефон NOKIA 3310 Dual серый; 80035627; NOKIA; 3310 Dual; 2;6510 руб;6510 руб;https://parsinger.ru/html/mobile/2/2_32.html
Проводная игровая мышь Vampire RGB; 80563851; Defender; Vampire RGB; 140;1610 руб;1610 руб;https://parsinger.ru/html/mouse/3/3_1.html
Defender Halo Z GM-430L; 80244227; Defender; Halo Z GM-430L; 87;550 руб;550 руб;https://parsinger.ru/html/mouse/3/3_2.html
Мышь беспроводная Defender Shark 2 чёрный USB; 80530370; Defender; Shark 2; 65;1480 руб;1480 руб;https://parsinger.ru/html/mouse/3/3_3.html
Мышь проводная Defender sTarx GM-390L чёрный USB; 80244229; Defender; sTarx GM-390L; 55;730 руб;730 руб;https://parsinger.ru/html/mouse/3/3_4.html
Defender Skull GM-180L чёрный USB; 80039351; Defender; Skull GM-180L; 55;485 руб;485 руб;https://parsinger.ru/html/mouse/3/3_5.html
Мышь проводная Defender Killer GM-170L чёрный USB 52170; 80039353; Defender; Killer GM-170L; 15;550 руб;550 руб;https://parsinger.ru/html/mouse/3/3_6.html
Мышь проводная Defender Ghost GM-190L чёрный USB 52190; 80039354; Defender; Ghost GM-190L; 25;600 руб;600 руб;https://parsinger.ru/html/mouse/3/3_7.html
Мышь проводная Defender Witcher GM-990 чёрный USB; 80369131; Defender; Witcher GM-990; 25;730 руб;730 руб;https://parsinger.ru/html/mouse/3/3_8.html
Logitech G305 LIGHTSPEED Wireless Gaming Mouse; 80553232; Logitech; G305 LIGHTSPEED Wireless Gaming Mouse - LILAC; 25;8920 руб;8920 руб;https://parsinger.ru/html/mouse/3/3_9.html
Logitech G102 LIGHTSYNC Gaming LILAC; 80554448; Logitech; G102 LIGHTSYNC Gaming LILAC; 25;4350 руб;4350 руб;https://parsinger.ru/html/mouse/3/3_10.html
Мышь Logitech G PRO HERO Black USB проводная; 80247044; Logitech; G PRO HERO; 55;5100 руб;5100 руб;https://parsinger.ru/html/mouse/3/3_11.html
Logitech G402 Hyperion Fury; 8675403; Logitech; G PRO HERO; 27;4400 руб;4400 руб;https://parsinger.ru/html/mouse/3/3_12.html
Мышь беспроводная STM 109CW чёрный USB; 86275403; STM; 109CW; 127;455 руб;455 руб;https://parsinger.ru/html/mouse/3/3_13.html
Мышь проводная Defender MB-986 чёрный USB; 80603934; Defender; MB-986; 550;270 руб;270 руб;https://parsinger.ru/html/mouse/3/3_14.html
Мышь проводная Gembird MG-520 чёрный USB; 80216417; Gembird; MG-520; 150;720 руб;720 руб;https://parsinger.ru/html/mouse/3/3_15.html
Мышь проводная CBR CM 846 Armor чёрный USB; 80606384; CBR; CM 846 Armor; 99;790 руб;790 руб;https://parsinger.ru/html/mouse/3/3_16.html
Мышь проводная Гарнизон GM-720G чёрный USB; 80166285; CBR; GM-720G; 81;600 руб;600 руб;https://parsinger.ru/html/mouse/3/3_17.html
Мышь проводная Гарнизон GM-700G чёрный USB; 80148902; Гарнизон; GM-700G; 21;425 руб;425 руб;https://parsinger.ru/html/mouse/3/3_18.html
Мышь проводная Гарнизон GM-760G чёрный USB; 80148901; Гарнизон; GM-760G; 61;610 руб;610 руб;https://parsinger.ru/html/mouse/3/3_19.html
Мышь проводная Гарнизон GM-730G чёрный USB; 80148484; Гарнизон; GM-730G; 41;580 руб;580 руб;https://parsinger.ru/html/mouse/3/3_20.html
Мышь проводная Гарнизон GM-620G чёрный USB; 80148483; Гарнизон; GM-620G; 121;385 руб;385 руб;https://parsinger.ru/html/mouse/3/3_21.html
Мышь проводная A4TECH Bloody Q51 чёрный USB; 80090478; A4TECH; Bloody Q51; 91;1320 руб;1320 руб;https://parsinger.ru/html/mouse/3/3_22.html
MGK-03U Dialog Gan-Kata - игровая; 80234480; Dialog; MGK-03U Gan-Kata; 50;260 руб;260 руб;https://parsinger.ru/html/mouse/3/3_23.html
Defender Flash MB-600L; 80244813; Defender; Flash MB-600L; 160;245 руб;245 руб;https://parsinger.ru/html/mouse/3/3_24.html
Gembird MG-550; 80244813; Gembird; MG-550; 60;830 руб;830 руб;https://parsinger.ru/html/mouse/3/3_25.html
Lenovo Legion M200 RGB Gaming Mouse; 80538807; Lenovo; Legion M200; 36;1460 руб;1460 руб;https://parsinger.ru/html/mouse/3/3_26.html
Sven RX-G750 чёрный USB; 80558868; Sven; RX-G750; 86;1590 руб;1590 руб;https://parsinger.ru/html/mouse/3/3_27.html
Wired Gaming Mouse ; 80529373; Canyon; -; 54;960 руб;960 руб;https://parsinger.ru/html/mouse/3/3_28.html
MSI Clutch GM08 ; 80563231; MSI; Clutch GM08; 94;1690 руб;1690 руб;https://parsinger.ru/html/mouse/3/3_29.html
Gembird MG-760 ; 80564137; Gembird; MG-760; 57;640 руб;640 руб;https://parsinger.ru/html/mouse/3/3_30.html
MGK-11U Dialog Gan-Kata ; 80564156; Dialog; MGK-11U; 27;435 руб;435 руб;https://parsinger.ru/html/mouse/3/3_31.html
Logitech G102 LIGHTSYNC ; 80413190; Logitech; G102 LIGHTSYNC; 127;2180 руб;2180 руб;https://parsinger.ru/html/mouse/3/3_32.html
Жесткий диск 3.5 2 Tb 5900 rpmrpm 64 MbMb cache Seagate ST2000VX008 SATA III 6 Gb/s ; 8958218; Seagate; G102 LIGHTSYNC; 37;12240 руб;12240 руб;https://parsinger.ru/html/hdd/4/4_1.html
Жесткий диск 3.5 500 Gb 7200rpm 64Mb cache Toshiba HDWD105UZSVA  ; 8818642; Toshiba; HDWD105UZSVA; 37;6200 руб;6200 руб;https://parsinger.ru/html/hdd/4/4_2.html
Жесткий диск 3.5 500Gb 7200rpm HP SATAIII QK554AA  ; 8628555; HP; QK554AA; 17;14360 руб;14360 руб;https://parsinger.ru/html/hdd/4/4_3.html
Жесткий диск Seagate Original SATA-III 2Tb ST2000NM000A Exos 7E8 (7200rpm) 256Mb 3.5  ; 80562356; Seagate; ST2000NM000A; 37;18690 руб;18690 руб;https://parsinger.ru/html/hdd/4/4_4.html
Жесткий диск 3.5 2 Tb 7200 rpmrpm 128 MbMb cache HGST Ultrastar 7K2 SATA III 6 Gb/s 1W10002  ; 8945373; HGST; Ultrastar 7K2; 57;25430 руб;25430 руб;https://parsinger.ru/html/hdd/4/4_5.html
Жесткий диск 3.5 1 Tb 7200 rpmrpm 64 MbMb cache Seagate ST1000DM010 SATA III 6 Gb/s; 8957757; Seagate; ST1000DM010; 61;7180 руб;7180 руб;https://parsinger.ru/html/hdd/4/4_6.html
Жесткий диск 3.5 4 Tb 5400 rpmrpm 128 MbMb cache Toshiba S300 Surveillance SATA III 6 Gb/s; 89573757; Toshiba; S300 Surveillance; 42;10710 руб;10710 руб;https://parsinger.ru/html/hdd/4/4_7.html
Жесткий диск 3.5 2 Tb 7200rpm 128Mb cache Toshiba MG04SCA20EE SAS; 8988540; Toshiba; MG04SCA20EE; 32;11010 руб;11010 руб;https://parsinger.ru/html/hdd/4/4_8.html
Жесткий диск 3.5 3 Tb 7200rpm 64Mb cache Toshiba HDWD130UZSVA SATA III 6 Gb/s; 8822188; Toshiba; HDWD130UZSVA; 132;11600 руб;11600 руб;https://parsinger.ru/html/hdd/4/4_9.html
HDD Toshiba X300 SATA3 6Tb 3.57200 256Mb (analog HDWR160UZSVA); 80585205; Toshiba; -; 14;20820 руб;20820 руб;https://parsinger.ru/html/hdd/4/4_10.html
Жесткий диск 3.5 4 Tb 7200 rpmrpm 256 MbMb cache Seagate ST4000NM002A SATA III 6 Gb/s; 80387011; Seagate; ST4000NM002A; 9;20460 руб;20460 руб;https://parsinger.ru/html/hdd/4/4_11.html
Жесткий диск 3.5 6 Tb 5400 rpmrpm 256 MbMb cache Seagate Skyhawk ST6000VX001 SATA III 6 Gb/s; 80185134; Seagate; Skyhawk ST6000VX001; 19;21590 руб;21590 руб;https://parsinger.ru/html/hdd/4/4_12.html
Жесткий диск 3.5 4 Tb 5400 rpmrpm 256 MbMb cache Seagate Barracuda SATA III 6 Gb/s ST4000DM004; 80014276; Seagate; Barracuda; 39;13330 руб;13330 руб;https://parsinger.ru/html/hdd/4/4_13.html
Жесткий диск Toshiba SATA-III 6Tb HDWR160UZSVA X300 (7200rpm) 256Mb 3.5; 80575673; Toshiba; HDWR160UZSVA; 19;20810 руб;20810 руб;https://parsinger.ru/html/hdd/4/4_14.html
Жесткий диск 3.52 Tb 5900rpm 64Mb cache Seagate IronWolf SATA III 6 Gb/s ST2000VN004; 8958216; Seagate; IronWolf; 15;13120 руб;13120 руб;https://parsinger.ru/html/hdd/4/4_15.html
Жесткий диск Toshiba SATA-III 6Tb HDWT860UZSVA Surveillance S300 (5400rpm) 256Mb 3.5; 80577948; Seagate; HDWT860UZSVA; 25;16480 руб;16480 руб;https://parsinger.ru/html/hdd/4/4_16.html
Жесткий диск 3.5 16 Tb 7200 rpmrpm 256 MbMb cache Seagate ST16000NM001G SATA III 6 Gb/s; 80395596; Seagate; ST16000NM001G; 125;70200 руб;70200 руб;https://parsinger.ru/html/hdd/4/4_17.html
Жесткий диск 3.5 2 Tb 5400 rpmrpm 128 MbMb cache Toshiba HDWD220UZSVA SATA III 6 Gb/s; 80544434; Toshiba; HDWD220UZSVA; 12;8170 руб;8170 руб;https://parsinger.ru/html/hdd/4/4_18.html
Жесткий диск 3.5 6 Tb 7200rpm 128Mb cache Toshiba X300 SATA III 6 Gb/s (HDWR160EZSTA); 80540551; Toshiba; X300; 22;21310 руб;21310 руб;https://parsinger.ru/html/hdd/4/4_19.html
Жесткий диск 3.5 3 Tbrpm 256 MbMb cache Seagate Barracuda ST3000DM007 SATA III 6 Gb/s; 80062968; Seagate; Barracuda ST3000DM007; 17;9050 руб;9050 руб;https://parsinger.ru/html/hdd/4/4_20.html
Жесткий диск 3.5 6 Tb 7200rpm 128Mb cache Toshiba SATAIII HDWE160UZSVA; 8983665; Toshiba; HDWE160UZSVA; 45;16020 руб;16020 руб;https://parsinger.ru/html/hdd/4/4_21.html
Жесткий диск 3.5 8 Tb 7200 rpmrpm 256 MbMb cache Toshiba HDWR480EZSTA SATA III 6 Gb/s; 80590182; Toshiba; HDWR480EZSTA; 5;25460 руб;25460 руб;https://parsinger.ru/html/hdd/4/4_22.html
Жесткий диск 3.5 2 Tb 5400rpm 256Mb cache Western Digital WD20EFAX SATA III 6 Gb/s; 80333485; Western Digital; HDWR480EZSTA; 55;14590 руб;14590 руб;https://parsinger.ru/html/hdd/4/4_23.html
Жесткий диск 3.5 6 Tb 7200rpm 256Mb cache Toshiba Surveillance S300 HDWT360UZSVA SATA III 6 Gb/s; 80212816; Toshiba; Surveillance S300 HDWT360UZSVA; 25;16780 руб;16780 руб;https://parsinger.ru/html/hdd/4/4_24.html
Жесткий диск 3.5 500 Gb 7200 rpmrpm 32 MbMb cache Seagate 3.5 SATA III 6 Gb/s ST500DM009; 8926331; Seagate; -; 29;6540 руб;6540 руб;https://parsinger.ru/html/hdd/4/4_25.html
Жесткий диск 3.5 2 Tb 7200 rpmrpm 256 MbMb cache Western Digital WD20EZBX SATA III 6 Gb/s; 80571771; Western Digital; WD20EZBX; 69;7670 руб;7670 руб;https://parsinger.ru/html/hdd/4/4_26.html
Жесткий диск 3.5 2 Tb 7200 rpmrpm 256 MbMb cache Seagate Barracuda ST2000DM008 SATA III 6 Gb/s; 80185132; Seagate; Barracuda ST2000DM008; 19;7110 руб;7110 руб;https://parsinger.ru/html/hdd/4/4_27.html
Жесткий диск 3.5 6 Tb 7200 rpmrpm 256 MbMb cache Toshiba MG06ACA600E SATA III 6 Gb/s; 80348865; Toshiba; Barracuda ST2000DM008; 37;19650 руб;19650 руб;https://parsinger.ru/html/hdd/4/4_28.html
3.5 Жесткий диск 500Gb Western Digital Caviar Black (WD5003AZEX) SATA III; 8042420; Western Digital; Caviar Black WD5003AZEX; 27;7910 руб;7910 руб;https://parsinger.ru/html/hdd/4/4_29.html
3.5 Жесткий диск 1Tb Western Digital Caviar Red (WD10EFRX) SATA III; 8042257; Western Digital; Caviar Black WD5003AZEX; 18;8540 руб;8540 руб;https://parsinger.ru/html/hdd/4/4_30.html
Жесткий диск Toshiba SATA-III 4Tb HDWD240EZSTA; 80564371; Toshiba; HDWD240EZSTA; 38;11990 руб;11990 руб;https://parsinger.ru/html/hdd/4/4_31.html
Жесткий диск 3.5 2 Tb 7200 rpmrpm 64 MbMb cache Western Digital WD2003FZEX; 8406493; Western Digital; WD2003FZEX; 138;25040 руб;25040 руб;https://parsinger.ru/html/hdd/4/4_32.html
